GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
java-code-assignment,com.fulfilment.application.monolith.warehouses.domain.exceptions,WarehouseNotFoundException,0,4,0,0,0,2,0,1,0,1
java-code-assignment,com.fulfilment.application.monolith.fulfillment.adapters.database,FulfillmentRepository,0,83,0,0,0,12,0,7,0,7
java-code-assignment,com.fulfilment.application.monolith.fulfillment.adapters.database,DbFulfillment,0,18,0,0,0,7,0,2,0,2
java-code-assignment,com.fulfilment.application.monolith.warehouses.domain.models,Location,0,12,0,0,0,5,0,1,0,1
java-code-assignment,com.fulfilment.application.monolith.warehouses.domain.models,Warehouse,0,3,0,0,0,1,0,1,0,1
java-code-assignment,com.fulfilment.application.monolith.warehouses.domain.usecases,ArchiveWarehouseUseCase,6,19,2,2,2,8,2,2,0,2
java-code-assignment,com.fulfilment.application.monolith.warehouses.domain.usecases,CreateWarehouseUseCase,9,24,1,1,2,9,2,2,1,2
java-code-assignment,com.fulfilment.application.monolith.warehouses.domain.usecases,ReplaceWarehouseUseCase,19,60,3,5,4,17,4,3,1,2
java-code-assignment,com.warehouse.api.beans,Warehouse,0,38,0,0,0,16,0,11,0,11
java-code-assignment,com.fulfilment.application.monolith.warehouses.domain.validator,WarehouseValidator,171,243,36,36,24,53,34,11,3,6
java-code-assignment,com.fulfilment.application.monolith.products,ProductResource.ErrorMapper,48,0,4,0,11,0,4,0,2,0
java-code-assignment,com.fulfilment.application.monolith.products,ProductRepository,0,3,0,0,0,1,0,1,0,1
java-code-assignment,com.fulfilment.application.monolith.products,Product,0,9,0,0,0,4,0,2,0,2
java-code-assignment,com.fulfilment.application.monolith.products,ProductResource,0,119,0,10,0,27,0,12,0,7
java-code-assignment,com.fulfilment.application.monolith.location,LocationGateway,2,101,2,2,1,16,2,4,0,4
java-code-assignment,com.fulfilment.application.monolith.warehouses.adapters.database,DbWarehouse,0,71,0,0,0,19,0,3,0,3
java-code-assignment,com.fulfilment.application.monolith.warehouses.adapters.database,WarehouseRepository,22,171,11,15,5,46,10,11,0,8
java-code-assignment,com.fulfilment.application.monolith.stores,StoreResource,0,154,2,16,0,37,2,15,0,8
java-code-assignment,com.fulfilment.application.monolith.stores,StoreRepository,0,3,0,0,0,1,0,1,0,1
java-code-assignment,com.fulfilment.application.monolith.stores,StoreResource.ErrorMapper,0,48,1,3,0,11,1,3,0,2
java-code-assignment,com.fulfilment.application.monolith.stores,StoreUpdatedEvent,0,6,0,0,0,1,0,1,0,1
java-code-assignment,com.fulfilment.application.monolith.stores,StoreCreatedEvent,0,6,0,0,0,1,0,1,0,1
java-code-assignment,com.fulfilment.application.monolith.stores,LegacyStoreManagerGateway,3,56,0,0,2,16,0,4,0,4
java-code-assignment,com.fulfilment.application.monolith.stores,Store,0,9,0,0,0,4,0,2,0,2
java-code-assignment,com.fulfilment.application.monolith.stores,StoreSyncObserver,0,32,0,0,0,8,0,4,0,4
java-code-assignment,com.fulfilment.application.monolith.warehouses.adapters.restapi,WarehouseResourceMapper,4,56,3,3,2,16,3,2,0,2
java-code-assignment,com.fulfilment.application.monolith.warehouses.adapters.restapi,WarehouseResourceImpl.WarehouseCreatedResponseFilter,0,25,0,6,0,6,0,5,0,2
java-code-assignment,com.fulfilment.application.monolith.warehouses.adapters.restapi,WarehouseResourceImpl,0,96,0,4,0,26,0,8,0,6
java-code-assignment,com.fulfilment.application.monolith.fulfillment.domain,FulfillmentService,16,76,1,1,3,19,2,6,1,6
java-code-assignment,com.fulfilment.application.monolith.fulfillment.domain,FulfillmentAssignment,0,15,0,0,0,6,0,2,0,2
java-code-assignment,com.fulfilment.application.monolith.fulfillment.domain,FulfillmentValidator,57,120,12,14,10,32,14,6,2,5
java-code-assignment,com.fulfilment.application.monolith.fulfillment.adapters.restapi,FulfillmentResource,8,53,0,4,2,11,0,7,0,5
